en	te
మేము సోదరీమణులు అని దాదాపు ఎవరూ అనుకోరు.	Almost no one thinks that we are sisters.
నేను జర్మన్ మాట్లాడేటప్పుడు వారు నన్ను అర్థం చేసుకోరు.	They don't understand me when I speak German.
టామ్ తన టికెట్ కోసం మేరీని మోసగించాడు.	Tom tricked Mary into paying for his ticket.
ఈ విషయాలన్నీ మీకు ఎక్కడ లభించాయి?	Where did you get all this stuff?
మీరు ఈ మాన్యుస్క్రిప్ట్‌ను ఫ్రెంచ్ నుండి ఇంగ్లీషులోకి అనువదించగలరా?	Can you translate this manuscript from French to English?
టామ్ ఈ రోజు బోస్టన్‌కు వెళ్లాడు.	Tom flew to Boston today.
గొప్ప సినిమా	great movie
టామ్ దయగల హృదయాన్ని కలిగి ఉన్నాడు.	Tom has a kind heart.
నేను చేయమని చెప్పినట్లు వారు చేస్తారు.	They'll do what I tell them to do.
టామ్ నన్ను చూడటం సంతోషంగా అనిపించలేదు.	Tom didn't seem happy to see me.
ఇక్కడికి రండి.	Come here.
టామ్ మరియు మేరీ దగ్గరి బంధువులు.	Tom and Mary are close relatives.
టామ్ మేరీ మరియు నేను మనమే చేయాలని కోరుకుంటున్నాను.	Tom wants Mary and I to do that by ourselves.
నేను ఈ రోజు ఆసక్తికరమైన విషయం కనుగొన్నాను.	I found out something interesting today.
టామ్ పియానోను బాగా వాయించాడు.	Tom plays the piano very well.
టామ్ నగర జీవితానికి అలవాటుపడలేదు.	Tom isn't used to city life.
మేము కలిసి పిల్లలు.	We were kids together.
టామ్ నాకన్నా మంచి గాయకుడు.	Tom is a much better singer than I am.
నన్ను తారుమారు చేయవద్దు	don't manipulate me
టామ్ డ్రైయర్‌ను స్విచ్ ఆఫ్ చేశాడు.	Tom switched off the dryer.
మీరిద్దరూ వెళ్ళవచ్చు.	You two may leave.
టామ్ తాను నడవలేనని చెప్పాడు.	Tom said he couldn't walk.
నా స్థానంలో మీరు ఏమి చేస్తారు?	What would you do in my position?
నా లైబ్రరీలోని ఏదైనా పుస్తకానికి మీకు స్వాగతం.	You're welcome to any book in my library.
సంస్కృతం భారతీయ ఉపఖండంలో ఉద్భవించిన ప్రాచీన భాష.	Sanskrit is an ancient language that originated in the Indian subcontinent.
వారు కూర్చున్నారు.	They sat down.
మీ కారు నల్లగా ఉందా?	Is your car black?
టామ్ పదమూడు సంవత్సరాలు, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు.	Tom is thirteen, but he still believes in Santa.
మీరు సరైనవారని మేము భావిస్తున్నాము.	We think you're right.
వారు మౌనంగా ఉన్నారు.	They were silent.
మనమే	ourself
టామ్ చూశానని మీరు అనుకుంటున్నారా?	Do you think Tom saw it?
ఈ వంటకం చాలా కారంగా ఉంటుంది.	This dish is too spicy.
త్వరగా	quickly
టెలివిజన్ లేకుండా జీవితం ఎలా ఉంటుందో మీరు Can హించగలరా?	Can you imagine what life would be like without television?
చెన్నైకి చెందిన క్రికెట్ ప్లేయర్	Cricket player from Chennai
టామ్ పిల్లలను మంచానికి పెట్టాడు.	Tom put the kids to bed.
నాకు ట్విట్టర్ ఖాతా లేదు.	I don't have a Twitter account.
టామ్ మేరీకి కొన్ని తెలివితక్కువ ప్రశ్నలను అడిగారు.	Tom asked Mary some stupid questions that she refused to answer.
మర్చిపోయాను	forgot
దేవాలయం అనేది ఆధ్యాత్మిక ఆచారాలు మరియు ప్రార్థన మరియు త్యాగం వంటి కార్యకలాపాల కోసం ప్రత్యేకించబడిన భవనం.	A temple is a building reserved for spiritual rituals and activities such as prayer and sacrifice.
అతను తన తప్పును అంగీకరించడం లేదు.	He was not about to admit his mistake.
నెమ్మదిగా	slowly
నేను నిన్ను ప్రేమిస్తున్నానని నీకు తెలుసు!	You know I love you!
మీకు జలుబు ఉండవచ్చు.	You probably just have a cold.
టామ్ నన్ను అలా చేయాలని ఎందుకు అనుకున్నాడు?	Why do you think Tom wanted me to do that?
ఈ యంత్రం సరిగ్గా ఏమి చేస్తుంది?	What does this machine do exactly?
తండ్రి	Father
నా వైపు నొప్పి వచ్చింది.	I've got a pain in my side.
టామ్ తన చొక్కాను హ్యాంగర్ మీద ఉంచాడు.	Tom put his shirt on a hanger.
టామ్ వేచి ఉండాల్సిన అవసరం లేదు.	Tom didn't need to wait.
బహుశా నేను అలా చేయకూడదు.	Maybe I shouldn't have done that.
నా అత్తకు ముగ్గురు పిల్లలు ఉన్నారు.	My aunt had three kids.
టామ్ మార్పును గమనించలేదు.	Tom didn't notice the change.
నాకు మృదువైన గొరుగుట వచ్చింది.	I got a smooth shave.
నేను ఇప్పుడు జీవితాన్ని భిన్నంగా చూస్తున్నాను.	I see life differently now.
అతను చాలా సంతోషంగా ఉన్నాడు.	He feels very happy.
టామ్ అంత తెలివితక్కువవాడు కాకపోతే, అతను త్వరగా అర్థం చేసుకున్నాడు.	If Tom wasn't so stupid, he would've understood quicker.
నేను దాదాపు ప్రతిరోజూ గూగుల్‌ని ఉపయోగిస్తాను.	I use Google almost every day.
తనకు విశ్రాంతి అవసరమని టామ్ చెప్పాడు.	Tom said that he needed a rest.
పోలీసులు దీనిని ఆపలేరు.	The police can't stop this.
ఈ పెట్టె ఖాళీగా ఉంది.	This box is empty. It has nothing in it.
నేను మీ గురించి కలలు కంటున్నాను.	I'll dream about you.
మీకు మరియు టామ్‌కు మంచి సమయం లభిస్తుందని నేను ఆశిస్తున్నాను.	I hope you and Tom will have a good time.
టామ్ తన ఎడమ కన్ను నుండి బాగా చూడలేడు అనేది నిజమేనా?	Is it true that Tom can't see very well out of his left eye?
అతనికి నీడ.	Shadow him.
నేను అతని ఆలోచనలకు మద్దతు ఇవ్వను.	I don't support his ideas.
నేను దంతవైద్యుని వద్దకు వెళ్లాను.	I've been to the dentist's.
అంతా(ప్రతిదీ)	Everything
మిమ్మల్ని కలవడం నాకు చాలా సంతోషంగా ఉంది	I am very happy to meet you
మేము టామ్ కోసం వేచి ఉండాలి.	We should wait for Tom.
టామ్ డాల్ఫిన్లతో ఈదుకున్నాడు.	Tom swam with the dolphins.
టామ్ యొక్క ఆపుకోలేనిది.	Tom's unstoppable.
ఎక్కడ	Where
మీరు నాకు ఏమి చేశారో చూడండి.	Look what you've done to me.
నేను తగినంత విజయవంతమయ్యానని నేను అనుకోను.	I just don't think I'm successful enough.
టామ్ మేరీకి నిజం చెప్పమని చెప్పాడు.	Tom told Mary to tell the truth.
నేను టామ్ కోసం చూస్తున్నాను.	I've been looking for Tom.
టామ్ తన సోదరికి కేక్ ముక్కను కత్తిరించాడు.	Tom cut his sister a piece of cake.
మీరు చేసిన పనికి నేను నిన్ను గౌరవిస్తాను.	I respect you for what you have done.
నెల్లూరు నుంచి వేలూరు వెళ్తున్నారు.	Going to Nellore to Vellore.
టామ్ సరదాగా లేడు.	Tom isn't having fun.
నేను అలా చేయటానికి బలంగా లేను.	I'm not strong enough to do that.
నేను టామ్ గురించి ఫ్రెంచ్ మాట్లాడతాను.	I think I speak French about as well as Tom does.
ఒకటి ఎంచుకోండి.	Choose one.
టామ్ మేరీ కంటే ఫ్రెంచ్ బాగా మాట్లాడతాడు.	Tom speaks French better than Mary does.
నేను టామ్‌ను ఆకట్టుకున్నాను.	I don't think I impressed Tom.
టామ్ ఒంటరిగా బార్ వద్ద కూర్చుని, వైన్ తాగడం చూశాను.	I saw Tom sitting at the bar alone, drinking wine.
మీరు నన్ను తప్పించుకుంటున్నారు.	You're avoiding me.
టామ్‌కు నిజంగా స్నేహితురాలు ఉందా?	Does Tom really have a girlfriend?
నేను దాని గురించి మరచిపోయాను.	I'd forgotten about that.
రేపు వాతావరణం బాగుంటే, మాకు పిక్నిక్ ఉంటుంది.	If the weather is nice tomorrow, we will have a picnic.
నేను ఎప్పుడూ చుట్టూ ఉండను.	I won't always be around.
ఇది మీరు అయి ఉండాలి.	It had to be you.
నేను నా సమయాన్ని వృధా చేస్తున్నాను.	I'm wasting my time.
నేను రెండు గంటలు మాత్రమే పడుకున్నాను.	I slept only two hours.
అమ్మా	Mother
అతను పొరపాటున తన కప్పు కాఫీలో ఉప్పు వేశాడు.	He put salt into his cup of coffee by mistake.
మనమందరం ఇష్టపడాలని కోరుకుంటున్నాము.	We all want to be liked.
టామ్ యొక్క దుష్ట.	Tom's wicked.
శిక్ష అనుభవించిన వ్యక్తి టామ్.	Tom was the one who got punished.
మీ సోదరుడు ఎక్కడ?	Where is your brother?
మీరు టామ్‌తో చాలా సమయం గడిపారు?	Have you spent a lot of time with Tom?
నేను నా పాస్వర్డ్ను మర్చిపోయాను.	I forgot my password.
నేను అహ్మదాబాద్ నుండి వస్తున్నాను	I am coming from Ahmedabad
ఇది చాలా బాధాకరమైనది.	It's too painful.
మనకు ఎందుకు విందు లేదు?	Why don't we have dinner?
స్వస్థలము	Native place
టామ్ బాగానే ఉన్నాడు.	Tom has been managing just fine.
నేను దీన్ని మీకు అనుమతించలేను.	I can't let you do this.
అమ్మ దాని గురించి ప్రస్తావించలేదు.	Mom did not mention it.
మీరు ఈ బ్యాగ్ నాకు చూపించగలరా?	Could you show me this bag?
ఎవరో తెల్ల జెండా aving పుతూ నేను చూస్తున్నాను.	I see someone waving a white flag.
మీరు ఈ జంతువును ఫ్రెంచ్ భాషలో ఏమని పిలుస్తారు?	What do you call this animal in French?
టామ్ ధూమపానం మానేయాలని అనుకున్నాడు.	Tom wanted to quit smoking.
సోదరుడు	Brother
టామ్ అతను వేచి ఉంటానని చెప్పాడు.	Tom said he'll wait.
మీరు అలాంటి అలవాటును వదిలించుకోవాలి.	You must get rid of such a habit.
టామ్‌కు సహాయం చేయడానికి మేము వెనుక ఉండిపోయాము.	We stayed behind to help Tom.
చత్రపతి శివాజీ 17వ మరియు 18వ శతాబ్దాలలో భారతదేశంలోని అత్యంత శక్తివంతమైన సామ్రాజ్యాలలో ఒకటి.	Chatrapati shivaji one of the most powerful empires in India during the 17th and 18th centuries.
మేరీ తన డబ్బును తిరిగి డిమాండ్ చేసింది.	Mary demanded her money back.
అతను నిగ్రహాన్ని కోల్పోయాడు మరియు నాపై అరిచాడు.	He lost his temper and shouted at me.
ఈ రోజు పని చేయాలని నాకు అనిపించదు.	I don't feel like working today.
టామ్ ఈ రోజు మాకు సహాయం చేయలేడు.	Tom can't help us today.
టామ్ తాను బిజీగా ఉన్నానని చెప్పాడు.	Tom said that he had been busy.
నేను విసుగు చెందుతున్నాను.	I'm getting bored.
టామ్ మాకు శబ్దం చేయవద్దని కోరాడు.	Tom asked us not to make any noise.
ఇది ఏదో ఒక రోజు జరుగుతుందని నాకు తెలుసు.	I've always known that this would happen someday.
నేను ముద్దు పెట్టుకున్న మొదటి అమ్మాయి మేరీ.	The first girl I ever kissed was Mary.
నేను ఇప్పటికీ నిన్ను చాలా ప్రేమిస్తున్నాను.	I still love you very much.
నేను ధనవంతుడిని అని కోరుకుంటున్నాను.	I wish I were rich.
టామ్ ఇప్పుడు అలా చేస్తున్నట్లు అనిపించదు.	Tom doesn't feel like doing that now.
తెలుగు నుండి హిందీకి అనువాదం	Telugu to hindi translation
గత సంవత్సరం మీరు మీ తాతామామలను ఎన్నిసార్లు సందర్శించారు?	How many times did you visit your grandparents last year?
ఇది తీవ్రంగా లేదు.	It's not serious.
వేలాది గృహాలు ధ్వంసమయ్యాయి.	Thousands of homes were destroyed.
నేను ముందు తలుపు లాక్ చేయడం మర్చిపోయాను.	I forgot to lock the front door.
ఒక మైలు 1,600 మీటర్లు.	A mile is about 1,600 meters.
పర్యాటకుడిలా దుస్తులు ధరించవద్దు.	Don't dress like a tourist.
మీకు అది ఎలా ఇష్టం?	How do you like that?
వారు హోటల్ వద్దకు వచ్చారు.	They arrived at the hotel.
టామ్, మీరు ఎందుకు వెళ్లరు?	Why don't you leave, Tom?
ఆశాజనక, మేము ఈ రోజు టామ్‌ను చూస్తాము.	Hopefully, we'll see Tom today.
టామ్ తన ఇంట్లో ఒక రహస్య గది ఉంది.	Tom has a secret room in his house.
ఇవి మీవి కాదా?	These aren't yours, are they?
కొంతమంది కుర్రాళ్ళు తరగతి గదిలోకి వచ్చారు.	Some boys came into the classroom.
టామ్ ఓడిపోయాడు.	Tom was defeated.
లతా మంగేష్కర్ ఒక పురాణ భారతీయ నేపథ్య గాయని, ఆమె వెయ్యికి పైగా హిందీ చిత్రాలలో, అలాగే అనేక ఇతర భారతీయ మరియు విదేశీ భాషలలో పాడింది.	Lata Mangeshkar is a legendary Indian playback singer who has sung in over a thousand Hindi films, as well as in various other Indian and foreign languages.
అందరూ కొలనులోకి దూకేశారు.	Everybody jumped into the pool.
సాయికి మంచి అనుభూతి కలుగుతోంది	Sai is feeling good
ఇప్పుడు మీకు ఎలా అనిపిస్తుంది?	How do you feel now?
జాన్ జాన్‌తో విడిపోయినప్పటి నుండి మేరీకి నిజంగా ఆసక్తి ఉన్న మొదటి వ్యక్తి టామ్.	Tom is the first guy Mary has really been interested in since she broke up with John.
టామ్ విద్యార్థి కాదు.	Tom isn't a student.
మేరీ ఎంత అనారోగ్యంతో ఉన్నారో టామ్‌కు తెలియదు.	Tom doesn't know how sick Mary is.
మీ నోటితో పూర్తిగా మాట్లాడకండి.	Don't talk with your mouth full.
నేను నా జుట్టు కడగాలి.	I want to wash my hair.
నాకు వార్తాపత్రిక తీసుకురండి.	Bring me the newspaper.
దిశలు	Directions
ఫలితం అతన్ని సంతృప్తిపరుస్తుంది.	The result will satisfy him.
మీరు ఎరుపు రంగులోకి మారుతున్నారు.	You're turning red.
S. P. బాలసుబ్రహ్మణ్యం, ప్రముఖ భారతీయ నేపథ్య గాయకుడు మరియు సంగీత స్వరకర్త, అతను ప్రధానంగా తమిళం, తెలుగు, కన్నడ, హిందీ మరియు మలయాళ చిత్ర పరిశ్రమలలో పనిచేశాడు.	S. P. Balasubrahmanyam, was a legendary Indian playback singer and music composer who primarily worked in the Tamil, Telugu, Kannada, Hindi, and Malayalam film industries.
పేరు	name
నేను చిన్నతనంలో చేపలు తినలేను.	I couldn't eat fish when I was a child.
బేసి, కాదా?	Odd, isn't it? We should have already arrived.
ఎవరికీ ఆకలి లేదు.	No one's hungry.
మీకు ఇష్టమైన పియానిస్ట్ ఎవరు?	Who is your favorite pianist?
టామ్ మరియు నేను అలా చేయాల్సిన అవసరం ఉందని మీకు తెలియదా?	Didn't you know that Tom and I needed to do that?
ఇది పొరపాటు.	It's likely a mistake.
ఓడలో ఎంత మంది ఉన్నారు?	How many people are on board the ship?
ఆమె ముప్పై మూడు.	She's thirty-three.
వర్క్‌షాప్‌లో మూడు ప్రింటింగ్ ప్రెస్‌లు ఉన్నాయి.	There are three printing presses in the workshop.
ఐదు భాషలు మాట్లాడే ఎవరైనా మీకు తెలుసా?	Do you know anybody who speaks five languages?
నేను అలా చేశానని ఎవరికీ చెప్పవద్దు.	Please don't tell anyone I did that.
నేను అతని పక్కన కూర్చున్నాను.	I sat down next to him.
ముగింపు	end
నెల్లూరుకు గొప్ప చరిత్ర మరియు సాంస్కృతిక వారసత్వం ఉంది, అనేక చారిత్రక ప్రదేశాలు మరియు దేవాలయాలు ప్రపంచం నలుమూలల నుండి పర్యాటకులను ఆకర్షిస్తాయి.	Nellore has a rich history and cultural heritage, with several historical landmarks and temples that attract tourists from all over the world.
టామ్ నా మామయ్య కాదు.	Tom isn't my uncle.
నేను పదకొండవ తరగతిలో ఉన్నాను.	I'm in the eleventh grade.
కంప్యూటర్ విరిగిపోయింది.	The computer is broken.
నాకు జోక్ రాలేదు.	I didn't get the joke.
చాలా చల్లగా ఉన్నందున నేను ఈత కొట్టలేదు.	I didn't swim because it was too cold.
నేను ఇంత సంతోషంగా ఉన్నానని నేను అనుకోను.	I don't think I've ever been this happy.
క్రీడలు	sports
నేను ఏమి మాట్లాడుతున్నానో మీకు తెలుసని అనుకుంటున్నాను.	I think you know what I'm talking about.
టామ్ ఖరీదైన సూట్ ధరించి ఉన్నాడు.	Tom is wearing an expensive suit.
నగరంలో దక్షిణ మధ్య రైల్వే నెట్‌వర్క్‌లో భాగమైన రైల్వే స్టేషన్ ఉంది.	The city has a railway station that is part of the South Central Railway network.
టామ్ మరియు నేను ఇద్దరూ ఆస్ట్రేలియాలో నివసిస్తున్నాము మరియు పని చేస్తున్నాము.	Tom and I both live and work in Australia.
తలుపు తెరిచి ఉంచకూడదు.	The door must not be left open.
టామ్ మా పెంపుడు కొడుకు.	Tom is our foster son.
నేను టామ్‌తో చాలా కాలం మాట్లాడలేదు.	I haven't talked to Tom in a very long time.
టామ్ వయసు 13, కానీ అతను ఇప్పటికీ శాంటాను నమ్ముతాడు.	Tom is 13, but he still believes in Santa.
టామ్ తన గదిని ఇంకా శుభ్రం చేశాడా?	Has Tom cleaned his room yet?
టామ్‌ను ఇక్కడికి రానివ్వమని హెచ్చరించాను.	I warned Tom not to come here.
ఈ ఆలయం నెల్లూరులోని పురాతన మరియు ప్రముఖ దేవాలయాలలో ఒకటి.	The temple is one of the oldest and most prominent temples in Nellore.
నేను చిన్నపిల్లలా వ్యవహరించడం ఇష్టం లేదు.	I don't like being treated like a child.
ఆ టామ్ మీరు ఇప్పుడే మాట్లాడుతున్నారా?	Was that Tom you were just talking to?
నేను అలా చేయనందుకు చాలా సంతోషంగా ఉంది.	I'm very glad that I didn't do that.
మీరు రేపు రోజంతా చదువుతారని అనుకుందాం.	I suppose you'll be studying all day tomorrow.
నేను నిజంగా నిరాశకు గురయ్యాను.	I was really depressed.
నేను నిద్రించటానికి వెళుతున్నాను	i am going to sleep
టామ్ తనకన్నా చాలా చిన్న అమ్మాయిని వివాహం చేసుకున్నాడు.	Tom married a girl much younger than himself.
టామ్ మేరీ తల కత్తిరించాడు.	Tom cut off Mary's head.
మీకు పియానో ఉందా?	Do you have a piano?
నేను పాడటానికి వెళ్ళడం లేదు.	I'm not going to sing.
నాకు ఒక అవసరం లేదు.	I have an excuse.
పోలీసులు ఈ స్థలం యొక్క ప్రతి అంగుళం మీదుగా వెళ్లారు.	The police went over every inch of this place.
టామ్ యొక్క ఖాళీ ప్లేట్ తీసివేయడానికి వెయిటర్ వచ్చాడు.	The waiter came over to take away Tom's empty plate.
గత నెలలో మీ వేతనాలు ఇక్కడ ఉన్నాయి.	Here are your wages for the last month.
నేను బడికి పరిగెత్తాను.	I ran to school.
నేను అంగీకరిస్తున్నాను, నేను ప్రపంచంలో చక్కని వ్యక్తిని కాదు.	I admit, I'm not the tidiest person in the world.
ఏమి ఆశించాలో మాకు తెలుసు.	We know what to expect.
మేరీ మేల్కొని ఉన్నాడని టామ్ కి తెలుసు.	Tom knew that Mary was awake.
మేరీ అక్కడ ఉన్నట్లు టామ్ గమనించాడు.	Tom noticed Mary was there.
మేము ప్రతి ఒక్కరినీ వదిలి వెళ్ళమని చెప్పాల్సి ఉంది.	We were supposed to tell everyone to leave.
అతను తన నాలుకతో ముక్కును తాకగలడు.	He can touch his nose with his tongue.
ఇది చాలా కష్టం కాదు.	It's not too hard.
టామ్ నన్ను డ్రైవ్ చేయాలనుకున్నాడు.	Tom wanted me to drive.
ప్రతి నదికి ఒక వంతెన ఉండేది.	There was a bridge across each river.
టామ్ నా ముగ్గురు పిల్లలలో చిన్నవాడు.	Tom is the youngest of my three children.
లైబ్రేరియన్ చాలా అనారోగ్యంగా కనిపించాడు.	The librarian looked quite sick.
నేను నిజంగా టామ్‌తో చేపలు పట్టడానికి ఇష్టపడను.	I don't really want to go fishing with Tom.
ఇక్కడ వారు సాధారణంగా విందు చేస్తారు.	Here's where they usually have dinner.
టామ్ అతని ఛాతీ వైపు చూపించాడు.	Tom pointed to his chest.
టామ్ బస్సు డ్రైవర్ కాదు, అవునా?	Tom isn't a bus driver, is he?
నాకు సమయం లేదు.	I have no time left.
టామ్ మేరీకి నిద్రవేళ కథ చదివాడు.	Tom read Mary a bedtime story.
మీరు నా ప్రేరణ.	You were my inspiration.
టామ్ గురించి నాకు వార్తలు ఉన్నాయి.	I have news about Tom.
టామ్ సమీపంలోని రెస్టారెంట్‌లో పనిచేస్తాడు.	Tom works at a nearby restaurant.
టామ్ సమాధానం చెప్పలేడు.	Tom can't answer.
సమస్య గురించి ఆమె వివరణ అర్ధంలేనిది.	Her explanation of the problem was nonsense.
నేను దేనికైనా సిద్ధంగా ఉండాలనుకుంటున్నాను.	I want to be ready for anything.
మీరు పట్టికను క్లియర్ చేయాలి.	You must clear the table.
మేము ఇప్పుడు ఈ సంవత్సరం వ్యాపార ఫలితాలపై నివేదిస్తాము.	We will now report on this year's business results.
నేను టామ్ యొక్క మెదడులను కలిగి ఉండాలని కోరుకుంటున్నాను.	I wish I had Tom's brains.
టామ్ ఎక్కడికి వెళ్ళలేదు.	Tom has got nowhere to go.
మనమందరం ఇంతకు ముందు చూశాము.	We've all seen that before.
టామ్ విసుగు చెందినట్లుంది.	Tom seems bored.
నేనే ప్రవర్తించాను.	I behaved myself.
మా కొడుకు యుద్ధంలో చంపబడ్డాడు.	Our son was killed in the war.
టామ్ ఎప్పుడూ పెళ్లి చేసుకోబోతున్నాడని నేను అనుకోను.	I don't think that Tom is ever going to get married.
మీ అన్ని ఫైల్‌లను బ్యాకప్ చేయాలని నిర్ధారించుకోండి.	Make sure to back up all your files.
టామ్ సంతోషంగా ఉంటే, నేను సంతోషంగా ఉన్నాను.	If Tom is happy, I'm happy.
నేను తదుపరిసారి ఆట గెలవను.	I will win the game next time.
నేను సంవత్సరాలలో చాలా ఆనందించలేదు.	I haven't had this much fun in years.
ఆ ఫలితం able హించదగినది.	That result was predictable.
మేము ఏమీ చేయడం లేదు.	We aren't doing anything.
మేము వస్తున్నాము.	We're coming.
అధికారిక సమాచారం	Official Information
నేను విమానాశ్రయానికి వచ్చిన వెంటనే మీకు ఫోన్ చేస్తాను.	I'll phone you as soon as I get to the airport.
నేను టామ్‌ను పోలీసుల వద్దకు వెళ్ళమని చెప్పాను.	I told Tom to go to the police.
టామ్ వారి నాయకుడు.	Tom is their leader.
టామ్ మరియు మేరీ వివాహం చేసుకున్నారని నేను అనుకున్నాను.	I thought Tom and Mary were married.
ఇది చాలా అద్భుతంగా ఉంది.	It's pretty amazing.
టామ్ యాక్షన్ సినిమాలు చూడటం ఇష్టపడతాడు.	Tom likes watching action movies.
టామ్ మేరీ చాలా బరువుగా ఉన్నాడు.	Tom said Mary was quite heavy.
శబ్దం వినబడలేదు.	Not a sound was heard.
టామ్ మేరీని సమ్మర్ క్యాంప్‌కు పంపాడు.	Tom sent Mary to summer camp.
ఇది అమ్మకానికి లేదు.	This isn't for sale.
నీకు పుట్టిన రోజు శుభాకాంక్షలు.	Happy Birthday to you.
నాకు సినిమా నిజంగా నచ్చింది.	I really liked the movie.
టామ్‌కు నిజం చెప్పే సమయం ఆసన్నమైందని నేను భావిస్తున్నాను.	I think that it's time for us to tell Tom the truth.
సమస్యకు సులభమైన పరిష్కారం బహుశా ఉంది.	There is probably an easy solution to the problem.
టామ్ కెరీర్ ముగిసింది.	Tom's career is over.
ఇంటికి వెళ్ళేటప్పుడు నేను కనుగొన్నదాన్ని చూడండి.	Look what I found on my way home.
ఇది దాదాపు తెల్లవారుజాము మరియు ఇంకా ఏమీ జరగలేదు.	It's almost dawn and nothing's happened yet.
నాకు అబ్బాయి తెలుసు.	I know the boy.
టామ్ పోయిందని అనుకుంటున్నాను.	I think Tom is gone.
టామ్ చెప్పినట్లు చెప్పినట్లు నేను ప్రతిదీ చేసాను.	I did everything the way Tom told me to do it.
పోలీసులు వారి ఆయుధాలను తగ్గించారు.	The police lowered their weapons.
దాన్ని మరచిపోదాం.	Let's forget it.
చెడు కొన్నిసార్లు గెలుస్తుంది.	Evil sometimes wins.
టామ్ కాలేజీ ఆవరణలో నడుస్తున్నాడు.	Tom is walking in college premises.
ముప్పై ఏళ్ళలో మనకు ఉన్న హాటెస్ట్ వేసవి ఇది.	This is the hottest summer that we have had in thirty years.
టామ్ సరిగ్గా ఎక్కడ నివసిస్తాడు?	Where exactly does Tom live?
టామ్ నాకు భయపడ్డాడని చెప్పాడు.	Tom told me you were afraid.
నేను ఇంతకు ముందు మిమ్మల్ని ఇంత భయంతో చూడలేదు.	I'd never seen you so afraid before.
మాకు మూడు కప్పులు అవసరం.	We need three cups.
మీరు తప్పక ప్రయత్నించాలి మరియు పార్టీకి రావాలి.	You must try and come to the party.
ఇది ఒక భ్రమ.	It's an illusion.
నేను అతని జోకులు చాలా ఉన్నాయి.	I have had quite enough of his jokes.
బహుశా వారు చెప్పేది అదే.	That's probably what they'll say.
దయచేసి ఏమి జరిగిందో మాకు చెప్పండి.	Please tell us what happened.
నేను అతని కోసం రేడియోను పరిష్కరించాను.	I've fixed the radio for him.
నన్ను నేను ద్వేషిస్తున్నాను.	I hate myself.
నేను మీకు సహాయం చేయలేను.	I cannot possibly help you.
టామ్ రేడియోను తిరస్కరించాడు.	Tom turned down the radio.
మీరు దానిని మీతో తీసుకోలేరు.	You can't take it with you.
ఆ తర్వాత పరిస్థితులు మారిపోయాయి.	Things changed after that.
మేము మా ఇంటిని అమ్మకానికి పెట్టడం గురించి ఆలోచిస్తున్నాము.	We're thinking about putting our house up for sale.
విరామ సమయంలో, నేను లాబీలో టామ్ కోసం వెతకడానికి వెళ్ళాను.	During the break, I went to look for Tom in the lobby.
నేను ఎప్పుడూ అలా చేయమని మిమ్మల్ని అడగలేదు.	I never asked you to do that.
పాఠశాల ఏప్రిల్‌లో ప్రారంభమవుతుంది.	School begins in April.
టామ్ నా ఫోన్ నంబర్ అడిగారు.	Tom asked me for my phone number.
టామ్ వారాంతం వరకు వేచి ఉండలేకపోయాడు.	Tom couldn't wait until the weekend.
ఇసాబెలా మరణించాడని వారు అంటున్నారు.	They say that Isabela died.
నేను గత రాత్రి నిద్రపోలేను, కాబట్టి నేను హర్రర్ సినిమా చూడాలని నిర్ణయించుకున్నాను.	I couldn't sleep last night, so I decided to watch a horror movie.
కస్టమర్ అంగీకరిస్తాడు.	The customer agrees.
నేను చాలా బద్ధకంగా ఉన్నాను.	I'm quite lazy.
అతను త్వరలో తిరిగి వస్తాడు.	He will be back soon.
టామ్ దీన్ని చదవాలని నేను కోరుకుంటున్నాను.	I want Tom to read this.
దయచేసి దీన్ని ఎలా చేయాలో నాకు చూపించండి.	Please show me how to do that.
టామ్ చేసినది అదే.	That's precisely what Tom did.
టామ్‌కు చెవి ఉంది.	Tom has an earache.
నాకు మలయాళం రాదు.	I don't know Malayalam.
నా దగ్గర డబ్బు లేదు.	I have no money with me.
ఇది ఒక అభిరుచిగా ప్రారంభమైంది.	It started as a hobby.
కొంతమంది హాంగ్ గ్లైడింగ్ ప్రమాదకరమైన క్రీడ అని భావిస్తారు.	Some people think that hang gliding is a dangerous sport.
వారు నన్ను చంపుతారు.	They'll kill me.
మీకు అన్యాయంగా ప్రవర్తించారు.	You were treated unfairly.
ఆ రాత్రి వింతైన విషయాలు జరిగాయి.	Strange things happened that night.
టామ్ మిమ్మల్ని కోల్పోతాడు.	Tom is going to miss you.
ఆ నటి ఎప్పటిలాగే అందంగా ఉంది.	That actress is as beautiful as ever.
నేను ఇప్పుడు మీకు సహాయం చేయగలను.	I can help you now.
ప్లాంక్ నేలమీద గడ్డకట్టింది.	The plank froze to the ground.
టామ్ తన గందరగోళాన్ని దాచడానికి ప్రయత్నించాడు.	Tom tried to hide his confusion.
ఎందుకు చాలా నెమ్మదిగా నడుస్తున్నాయి?	Why are running very slowly?
టామ్ అతను ఎప్పుడూ సరైనవాడు అని అనుకుంటాడు.	Tom thinks that he's always right.
భయపడవద్దు!	Don't panic!
పిల్లి పెట్టెలో ఉంది.	The cat is in the box.
అతను ఫ్రెంచ్ బోధించే సామర్థ్యం కలిగి ఉంటాడు.	He is capable of teaching French.
నేను ఏమి జరిగిందో విన్నాను.	I heard about what happened.
